type,poxX,poxY,poxZ,quatX,quatY,quatZ,quatW,stampSecs,stampNSecs,recSecs,recNSecs
Mocap,0.200837,0.70932,1.4,-0.00179153,-0.0141044,0.71012,0.703937,1542134246,992769053,1542134247,11551254
Mocap,0.200813,0.709202,1.40002,-0.000256136,-0.0179053,0.713724,0.700198,1542134247,3061141,1542134247,21931254
Mocap,0.200808,0.709205,1.40001,-0.000191096,-0.0179064,0.713754,0.700168,1542134247,13155281,1542134247,31550254
Mocap,0.200842,0.709314,1.40003,-0.00183985,-0.0141668,0.710229,0.703826,1542134247,22968262,1542134247,41601254
Mocap,0.200844,0.709331,1.40001,-0.0017516,-0.0142139,0.710235,0.703819,1542134247,33540226,1542134247,51531254
Mocap,0.200824,0.709218,1.40001,-0.000199686,-0.0179483,0.713703,0.700219,1542134247,43962677,1542134247,61700254
Mocap,0.200804,0.709195,1.4,-0.000207857,-0.0178992,0.713725,0.700198,1542134247,53012727,1542134247,71532254
Mocap,0.200818,0.709211,1.4,-0.000191119,-0.0178833,0.71375,0.700172,1542134247,63591597,1542134247,81602254
Mocap,0.200866,0.709328,1.40002,-0.00182432,-0.0141492,0.710112,0.703944,1542134247,73188623,1542134247,91567254
Mocap,0.200829,0.709211,1.40001,-0.000228416,-0.0179255,0.713653,0.70027,1542134247,83542058,1542134247,101699254
Mocap,0.200843,0.709316,1.40002,-0.00179923,-0.0142189,0.710251,0.703802,1542134247,93597075,1542134247,111571254
Mocap,0.200816,0.709201,1.40001,-0.000170731,-0.0179313,0.71377,0.700151,1542134247,103517147,1542134247,121686254
Mocap,0.200793,0.709216,1.40001,-0.000181858,-0.0179009,0.713712,0.700211,1542134247,113008585,1542134247,131558254
Mocap,0.200799,0.709193,1.40001,-0.000286514,-0.0179609,0.713681,0.700241,1542134247,123265165,1542134247,141671254
Mocap,0.20085,0.709311,1.40001,-0.00182401,-0.0142445,0.710252,0.703801,1542134247,132832253,1542134247,151565254
Mocap,0.200841,0.709318,1.4,-0.00177438,-0.0142661,0.710254,0.703798,1542134247,143352016,1542134247,161681254
Mocap,0.200842,0.709308,1.40001,-0.00177593,-0.0142302,0.710212,0.703842,1542134247,153059229,1542134247,171588254
Mocap,0.200811,0.709212,1.40001,-0.000223088,-0.0178984,0.713715,0.700208,1542134247,163145961,1542134247,181684254
Mocap,0.200814,0.709216,1.4,-0.00024512,-0.0178604,0.713692,0.700231,1542134247,173154578,1542134247,191592254
Mocap,0.200813,0.709226,1.40002,-0.000199394,-0.0178434,0.7137,0.700224,1542134247,183315238,1542134247,201796254
Mocap,0.200818,0.709208,1.40001,-0.000221796,-0.0179294,0.713745,0.700176,1542134247,192898052,1542134247,211535254
Mocap,0.200837,0.709305,1.40002,-0.00185743,-0.0140636,0.710169,0.703888,1542134247,203107648,1542134247,221591254
Mocap,0.200813,0.709206,1.40001,-0.000239414,-0.0178907,0.713731,0.700192,1542134247,213730093,1542134247,231583254
Mocap,0.200844,0.709325,1.4,-0.00175884,-0.0142604,0.710199,0.703854,1542134247,223056609,1542134247,241611254
Mocap,0.200852,0.709321,1.40001,-0.00180729,-0.0142122,0.710307,0.703746,1542134247,233479339,1542134247,251535254
Mocap,0.200811,0.709208,1.4,-0.000187126,-0.0179287,0.713708,0.700214,1542134247,243169209,1542134247,261803254
Mocap,0.200833,0.709313,1.40001,-0.00178594,-0.0142194,0.710273,0.70378,1542134247,253380526,1542134247,271579254
Mocap,0.200807,0.709214,1.40001,-0.000156911,-0.0178815,0.713719,0.700204,1542134247,263127549,1542134247,281797254
Mocap,0.200843,0.709318,1.4,-0.00175252,-0.0142621,0.710184,0.70387,1542134247,273161587,1542134247,291588254
Mocap,0.200817,0.70921,1.40001,-0.000210632,-0.0178704,0.713671,0.700253,1542134247,283222226,1542134247,301827254
Mocap,0.200817,0.709206,1.40001,-0.000218422,-0.017973,0.713757,0.700163,1542134247,293566220,1542134247,311623254
Mocap,0.200846,0.709311,1.40001,-0.00185023,-0.0141173,0.710145,0.703911,1542134247,303165191,1542134247,321869254
Mocap,0.200849,0.70932,1.4,-0.00179472,-0.0142602,0.710236,0.703817,1542134247,312975928,1542134247,331660254
Mocap,0.200834,0.709321,1.40001,-0.00177674,-0.0141225,0.710114,0.703943,1542134247,323099330,1542134247,341900254
Mocap,0.200838,0.709305,1.40002,-0.00180618,-0.0142013,0.710252,0.703802,1542134247,333810717,1542134247,351672254
Mocap,0.200834,0.709314,1.40001,-0.00182257,-0.0141642,0.710282,0.703772,1542134247,343309662,1542134247,361860254
Mocap,0.200809,0.70922,1.40001,-0.000200275,-0.0179043,0.713678,0.700245,1542134247,353563696,1542134247,371662254
Mocap,0.200841,0.709333,1.40002,-0.00180031,-0.0141057,0.710111,0.703947,1542134247,363382614,1542134247,381907254
Mocap,0.200814,0.709214,1.4,-0.000174262,-0.0179106,0.713699,0.700224,1542134247,373545684,1542134247,391678254
Mocap,0.200811,0.709208,1.40001,-0.000244951,-0.0178986,0.713751,0.700171,1542134247,383303820,1542134247,401914254
Mocap,0.2008,0.7092,1.40001,-0.000261737,-0.0178947,0.713754,0.700168,1542134247,393684322,1542134247,411706254
Mocap,0.200812,0.709297,1.40002,-0.0017851,-0.0142575,0.710175,0.703879,1542134247,403974767,1542134247,421916254
Mocap,0.200821,0.709225,1.40001,-0.000190737,-0.0179035,0.713673,0.70025,1542134247,413979838,1542134247,431742254
Mocap,0.200844,0.709311,1.40001,-0.0017986,-0.014219,0.710229,0.703825,1542134247,423235210,1542134247,441990254
Mocap,0.200821,0.709317,1.40001,-0.0018085,-0.0140916,0.710142,0.703915,1542134247,433244577,1542134247,451777254
Mocap,0.200786,0.709206,1.4,-0.000151665,-0.0179655,0.713763,0.700157,1542134247,443539371,1542134247,462018254
Mocap,0.200814,0.709312,1.40002,-0.00177916,-0.0141128,0.710009,0.704049,1542134247,453546797,1542134247,471809254
